MI_PRINX,SL Number,Site ID,Street Location,Between Street 1,Between Street 2,Direction Bound,Start Date,End Date,Count Year,Ave Weekday Traffic,ADT,AM Peak 8 To 9,PM Peak 5 To 6,Percent Heavy Vehicles,Speed Limit,Percentile 85th,Percent Exceed Speed Limit,Data Collected By,Longitude,Latitude,x,y
224,25,HKT_TAV_AUD_97,Hackett Drive,The Avenue,Australlia II Dr,Eastbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,3269,3232,208,377,10.2,60,46.26,0.164,COP,115.8188146,-31.986426,12892892.665,-3761527.1967
225,89,HACKTT_THEAVE_AUSTDV,Hackett Drive,The Avenue,Australlia II Dr,Eastbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,3269,3232,208,377,10.2,60,46.26,0.164,COP,115.8188146,-31.986426,12892892.665,-3761527.1967
226,24,HKT_TAV_AUD_96,Hackett Drive,The Avenue,Australlia II Dr,Westbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,3933,3737,430,338,5.3,60,48.6,0.46,COP,115.8189181,-31.9864288,12892904.1866,-3761527.5642
227,88,HACKTT_THEAVE_AUSTDV,Hackett Drive,The Avenue,Australlia II Dr,Westbound,3/9/2022 12:00:00 AM,3/16/2022 12:00:00 AM,2022,3933,3737,430,338,5.3,60,48.6,0.46,COP,115.8189181,-31.9864288,12892904.1866,-3761527.5642
228,38,PARKAV-POOLAV-CRAWLY,Park Avenue,Pool Avenue,Crawley Avenue,Eastbound/Westbound,11/7/2023 12:00:00 AM,11/14/2023 12:00:00 AM,2023,1819,1729,119,170,0.3,50,48.6,11.3,COP,115.8199372,-31.9733955,12893017.6309,-3759817.1146
229,43,HACKTT_MTSBYR_AUSTDV,Hackett Drive,Mounts Bay Rd,Australlia II Dr,North,3/9/2022 12:00:00 AM,3/17/2022 12:00:00 AM,2022,7316,6848,530,650,0.0298,60,55.6,0.033,Pantagon,115.820958,-31.977266,12893131.2669,-3760325.0415
230,44,HACKTT_MTSBYR_AUSTDV,Hackett Drive,Mounts Bay Rd,Australlia II Dr,South,3/9/2022 12:00:00 AM,3/17/2022 12:00:00 AM,2022,6497,6191,724,545,0.0387,60,54.5,0.0286,Pantagon,115.820962,-31.97724,12893131.7122,-3760321.6295
231,37,CRAWLY-PARKAV-MTSBYR,Crawley Avenue,Park Avenue,Mounts Bay Road,southbound/Northbound,11/7/2023 12:00:00 AM,11/14/2023 12:00:00 AM,2023,1437,1369,112,123,0.9,50,46.62,7.429,COP,115.82368,-31.973873,12893434.2778,-3759879.7749
232,21,PARKAV_WNGFLD_KINGPA,Park Avenue,Kings Park Avenue,Wingfield Avenue,Eastbound/Westboud,10/16/2023 12:00:00 AM,10/23/2023 12:00:00 AM,2023,1167,1129,95,98,0.3,50,48.24,10.79,COP,115.8245138,-31.9716926,12893527.0955,-3759593.6478
233,18,KINGPA_PARKAV_MTSBYR,Kings Park Avenue,Park Avenue,Mounts Bay Road,Southbound/Northbound,10/16/2023 12:00:00 AM,10/23/2023 12:00:00 AM,2023,783,764,63,75,0.4,50,41.56,2.482,COP,115.8258897,-31.9718777,12893680.2602,-3759617.9372
